lt_c_aistmac                 | 접근관제구역
lt_p_weissitema              | 수질측정망하천수지점
lt_c_upisuq155               | 도시계획(공공문화체육시설)
lt_c_um710                   | 상수원보호
lt_c_aiscatc                 | 훈련구역
lt_c_b3surfacemark           | 노면표시
lt_c_a5parkinglot            | 주차면
lt_c_wgisarwet               | 습지보호구역
lt_c_adri                    | 리
lt_c_wgisieilban             | 일반산업단지
lt_c_aisrflc                 | 공중급유구역
lt_c_wkmstrm                 | 하천망
lt_c_um901                   | 습지보호지역
lt_p_mgprtfb                 | 노인복지시설
lt_p_mgprtfd                 | 기타보호시설
lt_l_gimsec                  | 전기전도도
lt_c_upisuq159               | 도시계획(기타기반시설)
lt_c_wgispl2use              | (2차) 이용연안해역
lt_c_asitsoildep             | 유효토심
lt_c_upisuq171               | 개발행위허가제한지역
lt_p_nsnmssitenm             | 국가지명
lt_c_uq121                   | 경관지구
lt_c_spbd                    | 도로명주소건물
lt_c_ud610                   | 국민임대주택
lt_l_gimslinea               | 지질구조선
lt_c_aisresc                 | 비행제한구역
lt_c_b1safetysign            | 안전표지
lt_l_aispath                 | 항공로
lt_c_uq113                   | 농림지역
lt_c_aistemp                 | 임시비행금지공역
lt_l_aisrouteu               | 제한고도
lt_c_aisatzc                 | 비행장교통구역
lt_c_uq124                   | 방화지구
lt_c_uq141                   | 국토계획구역
lt_c_wkmmbsn                 | 중권역
lt_c_ademd                   | 읍면동
lt_c_upisuq154               | 도시계획(유통공급시설)
lt_c_uj401                   | 온천지구
lt_c_gimsscs                 | 토양도
lt_c_ud620                   | 보금자리주택
lt_c_uq162                   | 도시자연공원구역
lt_c_uf602                   | 임업 및 산촌 진흥권역
lt_p_utiscctv                | 교통CCTV
lt_c_wgisienong              | 농공단지
lt_l_c3vehicleprotectionsafety | 차량방호안전시설
lt_c_damdan                  | 단지경계
lt_c_c4speedbump             | 과속방지턱
lt_p_dgmuseumart             | 박물관미술관
lt_c_gimshydro               | 수문지질단위
lt_c_um221                   | 야생동식물보호
lt_c_gimslinea               | 지질구조밀도
lt_c_gimsstiff               | 수질다이어그램
lt_c_kfdrssigugrade          | 산불위험예측지도
lt_c_up401                   | 급경사재해예방지역
lt_l_sprd                    | 도로명주소도로
lt_c_wgispl2con              | (2차) 관리연안해역
lt_c_a4subsidiarysection     | 보도구간
lt_c_uh402                   | 자유무역지역지정및운영
lt_c_uo301                   | 국가유산 지정/보호구역
lt_c_aisdronezone            | 드론시범사업구역
lt_p_c2kilopost              | 킬로포스트
lt_l_gimsfault               | 단층
lt_l_gimspoten               | 지하수등수위선
lt_c_aisacmc                 | 공중전투기동훈련장
lt_c_damyuch                 | 단지유치업종
lt_p_aishcstrip              | 헬기장
lt_c_tfismpa                 | 해양보호구역
lt_c_damyod                  | 단지용도지역
lt_l_gimsdepth               | 지하수등수심선
lt_c_ub901                   | 시장정비구역
lt_c_asitsurston             | 자갈함량
lt_p_dgtouristinfo           | 관광안내소
lt_c_uf901                   | 백두대간보호지역
lt_c_asitdeepsoil            | 심토토성
lt_p_sgisgwchg               | 지하수측정망(오염우려지역)
lt_l_aissearchl              | 수색비행장비행구역
lt_p_aissearchp              | 수색비행장비행구역
lt_p_mgprtfc                 | 아동복지시설
lt_c_wgisrecomp              | 공유수면매립준공
lt_c_upisuq157               | 도시계획(보건위생시설)
lt_p_weissiteme              | 수질측정망공단배수지점
lt_l_c5heightbarrier         | 높이장애물
lt_c_aismoac                 | 군작전구역
lt_c_aisadzc                 | 방공식별구역
lt_c_uq125                   | 방재지구
lt_p_sgisgolf                | 골프장현황도
lt_c_aisuac                  | (UA)초경량비행장치공역
lt_l_moctlink                | 교통링크
lt_c_aisprhc                 | 비행금지구역
lt_c_upisuq161               | 지구단위계획
lt_p_mgprtfa                 | 아동안전지킴이집
lt_p_weissitemf              | 수질측정망도시관류지점
lt_c_ud801                   | 개발제한구역
lt_p_b1safetysign            | 안전표지(점)
lt_c_uq123                   | 고도지구
lt_c_wkmsbsn                 | 표준권역
lt_c_wgisnpgug               | 국립자연공원
lt_c_wgisiegug               | 국가산업단지
lt_c_wgispl2spa              | (2차) 특수연안해역
lt_p_busiincubator           | 창업보육센터
lt_c_uq112                   | 관리지역
lt_c_dhsch                   | 고등학교학교군
lt_p_a1node                  | 주행경로노드
lt_l_toisdepcntah            | 해안선
lt_l_gimsdirec               | 지하수유동방향
lt_c_usfsffb                 | 소방서관할구역
lt_c_uq129                   | 개발진흥지구
lt_c_uq128                   | 취락지구
lt_c_lhblpn                  | 토지이용계획도
lt_c_wgisreplan              | 공유수면매립기본계획
lt_p_c6postpoint             | 지주
lt_p_weissitemb              | 수질측정망호소수지점
lt_l_aiscorrid_ys            | 한강회랑
lt_l_aiscorrid_gj            | 한강회랑
lt_p_aiscorrid_ys            | 한강회랑
lt_p_aiscorrid_gj            | 한강회랑
lt_c_cademd                  | (센서스경계)행정동경계
lt_l_n3a0020000              | 도로중심선
dt_d160                      | 토지소유공간정보
dt_d002                      | 연속지적도형정보
